Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION,NAME2,PHONE_VERIFIED,ZIP3
ef58ea08d88339578300150554edc8fb,HEALTHALLIANCE HOSPITALS INC,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,71.770876,9784662000,"$1,98,002.28",1557,HEALTHALLIANCE HOSPITALS INC,9784662000,01453
69176529fd1f3b3fabcea0a3626769eb,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,71.118275,6174923500,"$2,88,569.17",2296,MOUNT AUBURN HOSPITAL,6174923500,02138
5e765f2be90838889fc7df2cb87beb58,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,71.294503,5082225200,"$2,87,355.03",2287,STURDY MEMORIAL HOSPITAL,5082225200,02703
f1fbcbfbfcfa3bd2b7f4df20f1b3c3a4,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,71.161357,9786834000,"$1,63,386.98",1327,LAWRENCE GENERAL HOSPITAL,9786834000,01842
e002090d4e92300eb41e7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,71.118275,6176652300,"$4,06,053.19",3199,CAMBRIDGE HEALTH ALLIANCE,6176652300,02138
ef6ab57ced943dbe9861812d515918b3,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,70.740536,5087711800,"$2,26,779.11",1800,CAPE COD HOSPITAL,5087711800,02601
49318f80bd8b3fc7a096ac43088b0c12,COOLEY DICKINSON HOSPITAL INC,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,72.674630,4135822000,"$2,07,766.77",1641,COOLEY DICKINSON HOSPITAL INC,4135822000,01060
fbf6180eb8003ebeb91d93d0288c400e,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,72.597063,4137730211,"$1,37,761.90",1098,BAYSTATE FRANKLIN MEDICAL CENTER,4137730211,01301
8b58cdd13d7931268fe0da2c54d6805c,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.331960,71.020173,6175062000,"$47,143.40",369,CARNEY HOSPITAL,6175062000,02124
4bdaa4c2c6643089aee27137abbad27f,HARRINGTON MEMORIAL HOSPITAL,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,72.034040,5087659771,"$1,79,609.83",1413,HARRINGTON MEMORIAL HOSPITAL,5087659771,01550
ecc516210af33b35ac3e8b1e34022e92,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,71.094162,5086745600,"$2,82,214.42",2225,SAINT ANNE'S HOSPITAL,5086745600,02721
5d4b9df193ae3bc9b68003249990e558,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,72.642448,4135342500,"$3,27,601.37",2585,HOLYOKE MEDICAL CENTER,4135342500,01040
37b4d73f652d3033a16ed97b9e8b4cda,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,70.886646,9784631000,"$1,08,494.28",868,ANNA JAQUES HOSPITAL,9784631000,01950
5844ad77f6533c2bb7dde97576ab3b03,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,40 WRIGHT STREET,PALMER,MA,01069,42.187794,72.308469,4132837651,"$1,36,237.92",1077,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,4132837651,01069
08bcda9cf8c8324482d4fc306a7a55d3,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.331960,71.020173,6176388000,"$10,720.28",84,BOSTON MEDICAL CENTER CORPORATION,6176388000,02118
37c0de84bcaf362482bfa89b2ac441b8,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,70.844960,9789223000,"$1,53,829.53",1222,BEVERLY HOSPITAL CORPORATION,9789223000,01915
4861d01f019c3daca1538334e50919f9,NORTH SHORE MEDICAL CENTER,81 HIGHLAND AVENUE,SALEM,MA,01970,42.501280,70.897502,9787411215,"$2,02,703.56",1616,NORTH SHORE MEDICAL CENTER,9787411215,01970
a0b6ec0ce5873b2abf9f248849f29ee5,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.331960,71.020173,6177893000,"$22,215.52",184,ST ELIZABETH'S MEDICAL CENTER,6177893000,02135
4f3a530ea2f73de09a09c0a70a9ab894,BERKSHIRE MEDICAL CENTER INC,725 NORTH STREET,PITTSFIELD,MA,01201,42.452045,73.260540,4134472000,"$2,08,696.59",1643,BERKSHIRE MEDICAL CENTER INC,4134472000,01201
f71ce1a9cca732959a1ec88ac3479b6f,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,MA,01752,42.349617,71.547214,5084815000,"$1,63,103.08",1299,MARLBOROUGH HOSPITAL,5084815000,01752
c44f361c2efb30508f970354a12e2920,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,02302,42.082543,71.024638,5089417000,"$1,66,823.02",1314,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,5089417000,02302
331f4c11d298308baaa1d7825b29b57f,CLINTON HOSPITAL ASSOCIATION,201 HIGHLAND STREET,CLINTON,MA,01510,42.411887,71.690005,9783683000,"$82,739.89",655,CLINTON HOSPITAL ASSOCIATION,9783683000,01510
b1ddf8121fdd3adfb1d532cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,70.624030,5087462000,"$1,41,636.85",1136,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,5087462000,02360
6be05ccfef94341fa2a31cf9bfde1b18,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,01605,42.269478,71.807783,5087999000,"$35,648.16",279,ADCARE HOSPITAL OF WORCESTER INC,5087999000,01605
b0e04623b02c3f8b92ea943fc4db60da,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,71.322107,9789376000,"$2,24,531.45",1811,LOWELL GENERAL HOSPITAL,9789376000,01854
ebc3f5c4670034af832385621c313726,NOBLE HOSPITAL,115 WEST SILVER STREET,WESTFIELD,MA,01085,42.138838,72.755911,4135682811,"$1,25,362.69",1006,NOBLE HOSPITAL,4135682811,01085
fd328395ab1d35c6a2d0d05a9a79cf11,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,72.539978,4137489000,"$1,03,457.16",821,MERCY MEDICAL CTR,4137489000,01104
d692e283083332018e554f868a9c0736,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,02176,42.455723,71.059019,7819793000,"$5,61,587.35",4466,HALLMARK HEALTH SYSTEM,7819793000,02176
d78e84ec30aa3bbaa33af29a3a454662,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,02114,42.331960,71.020173,6177262000,"$57,734.52",455,MASSACHUSETTS GENERAL HOSPITAL,6177262000,02114
8ad64ecfc8173753bee7006a8e662e06,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,71.094984,5088287000,"$2,10,659.72",1682,MORTON HOSPITAL,5088287000,02780
23834663ed533da9b330d6e1ecb8428e,SOUTHCOAST HOSPITAL GROUP INC,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,71.094162,5086793131,"$2,22,412.59",1832,SOUTHCOAST HOSPITAL GROUP INC,5086793131,02720
44bef9d391c2300593e0ccf436348ff0,MASSACHUSETTS EYE AND EAR INFIRMARY,243 CHARLES STREET,BOSTON,MA,02114,42.331960,71.020173,6175237900,"$32,806.64",262,MASSACHUSETTS EYE AND EAR INFIRMARY,6175237900,02114
60457c13adb2341582c586ab5dab5f93,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,42.115454,72.539978,4137940000,"$63,494.93",517,BAYSTATE MEDICAL CENTER,4137940000,01199
a9f20dc151473789bcefbbecb41c5983,HOLY FAMILY HOSPITAL,70 EAST STREET,METHUEN,MA,01844,42.742751,71.178588,9786870156,"$40,892.05",325,HOLY FAMILY HOSPITAL,9786870156,01844
7fb5653186bd3e4a86194df9942da309,BETH ISRAEL DEACONESS HOSPITAL NEEDHAM,148 CHESTNUT STREET,NEEDHAM,MA,02494,42.281593,71.242414,7814533002,"$1,46,105.78",1162,BETH ISRAEL DEACONESS HOSPITAL NEEDHAM,7814533002,02494
03347b4d994e302b848b58019a4e274d,EMERSON HOSPITAL,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,42.269478,71.807783,9783691400,"$43,346.09",347,EMERSON HOSPITAL,9783691400,01742
cb6a50e0af76375899ad3200ede03fff,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,02215,42.331960,71.020173,6176677000,"$15,757.52",123,BETH ISRAEL DEACONESS MEDICAL CENTER,6176677000,02215
9a7149fa49fc3c87b935d29c55808717,NEW ENGLAND BAPTIST HOSPITAL,125 PARKER HILL AVENUE,BOSTON,MA,02120,42.331960,71.020173,6177545800,"$33,064.96",258,NEW ENGLAND BAPTIST HOSPITAL,6177545800,02120
24cb4eab61663530bddca5a8a14a4fc1,MILFORD REGIONAL MEDICAL CENTER,14 PROSPECT STREET,MILFORD,MA,01757,42.158692,71.521419,5084731190,"$3,36,022.50",2665,MILFORD REGIONAL MEDICAL CENTER,5084731190,01757
e44f438a601b30fb85ebbfaf8ddcb5ad,HEYWOOD HOSPITAL,242 GREEN STREET,GARDNER,MA,01440,42.586516,71.988062,9786323420,"$1,72,945.00",1376,HEYWOOD HOSPITAL,9786323420,01440
ac8356a578f83a638a1e59e832fd54e7,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,01432,42.562221,71.584844,9787849000,"$58,638.64",462,NASHOBA VALLEY MEDICAL CENTER,9787849000,01432
db0acede4abe3c018d035c68a190d8c7,SOUTH SHORE HOSPITAL,55 FOGG ROAD,SOUTH WEYMOUTH,MA,02190,42.241589,71.082651,7813408000,"$1,71,859.90",1400,SOUTH SHORE HOSPITAL,7813408000,02190
