Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION,PHONE_VERIFIED
ef58ea08d88339578300150554edc8fb,HEALTHALLIANCE HOSPITALS INC,60 HOSPITAL ROAD,LEOMINSTER,MA,1453,42.520838,71.770876,9784662000,"$1,98,002.28",1557,9784662000
69176529fd1f3b3fabcea0a3626769eb,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,2138,42.375967,71.118275,6174923500,"$2,88,569.17",2296,6174923500
5e765f2be90838889fc7df2cb87beb58,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,2703,41.931653,71.294503,5082225200,"$2,87,355.03",2287,5082225200
f1fbcbfbfcfa3bd2b7f4df20f1b3c3a4,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,1842,42.700273,71.161357,9786834000,"$1,63,386.98",1327,9786834000
e002090d4e92300eb41e7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,42.375967,71.118275,6176652300,"$4,06,053.19",3199,6176652300
ef6ab57ced943dbe9861812d515918b3,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,2601,41.748854,70.740536,5087711800,"$2,26,779.11",1800,5087711800
49318f80bd8b3fc7a096ac43088b0c12,COOLEY DICKINSON HOSPITAL INC,30 LOCUST STREET,NORTHAMPTON,MA,1060,42.327044,72.67463,4135822000,"$2,07,766.77",1641,4135822000
fbf6180eb8003ebeb91d93d0288c400e,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,42.614671,72.597063,4137730211,"$1,37,761.90",1098,4137730211
8b58cdd13d7931268fe0da2c54d6805c,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,2124,42.33196,71.020173,6175062000,"$47,143.40",369,6175062000
4bdaa4c2c6643089aee27137abbad27f,HARRINGTON MEMORIAL HOSPITAL,100 SOUTH STREET,SOUTHBRIDGE,MA,1550,42.059669,72.03404,5087659771,"$1,79,609.83",1413,5087659771
ecc516210af33b35ac3e8b1e34022e92,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,2721,41.725351,71.094162,5086745600,"$2,82,214.42",2225,5086745600
5d4b9df193ae3bc9b68003249990e558,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,1040,42.211656,72.642448,4135342500,"$3,27,601.37",2585,4135342500
37b4d73f652d3033a16ed97b9e8b4cda,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,1950,42.812141,70.886646,9784631000,"$1,08,494.28",868,9784631000
5844ad77f6533c2bb7dde97576ab3b03,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,40 WRIGHT STREET,PALMER,MA,1069,42.187794,72.308469,4132837651,"$1,36,237.92",1077,4132837651
08bcda9cf8c8324482d4fc306a7a55d3,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,2118,42.33196,71.020173,6176388000,"$10,720.28",84,6176388000
